FACID|EXTID|FACNM|FACADD1|FACADD2|FACCITY|FACST|FACZIP|VENNBR|DCNBR|STATUS
Abkit330175041| |Abkit|3301 Wood Dr Ste 200|Suite 200|Garland|TX|75041| | |A
Acme1810180011| |Acme Warehouse|18101 E Colfax Ave| |Aurora|CO|80011| | |A
Adams370177018| |Adams Whse|3701 Yale St|Contact Patricia|Houston|TX|77018| | |A
Adams70133823| |Adams Cold Storage Llc|701 Mckean St|Mon-Fri 7 30Am-4 30Pm|Auburndale|FL|33823| | |A
Adobe0900681324| |Adobe Milling Company|09006 E Highway 666|Adobemilling@Gmail.Com|Dove Creek|CO|81324| | |A
Advanc90093291| |Advanced Food Products|900 N Plaza Dr| |Visalia|CA|93291| | |A
Airpor53087121| |Airport Warehouse|530 Airport Dr Nw           Om|Warehouseair@505Southwestern.C|Albuquerque|NM|87121| | |A
AkMak8993657| |AkMak Bakeries|89 Academy Ave| |Sanger|CA|93657| | |A
Alacer1963192610| |Alacer Corporation|19631 Pauling| |Foothill Ranch|CA|92610| | |A
AlbertPo28290| |AlbertoCulver Usa Inc|Po Box 905504| |Charlotte|NC|28290| | |A
Allent12519512| |Allentown Refrigrated Terminal|125 Seneca Trl|Jnosia@Art-Cold Com X221|Boyertown|PA|19512| | |A
Allen3417050| |Allen Distribution|34 Dauphin Dr| |Mechanicsburg|PA|17050| | |A
Allerg230084115| |Allergy Research Group|2300 S Main St|Asteed@Countrylifevitamins Com|Salt Lake City|UT|84115| | |A
Allied10007064| |Allied Old English|100 Markley St| |Port Reading|NJ|07064| | |A
Allied2240898032| |Allied Old English|22408 76Th Ave S| |Kent|WA|98032| | |A
Alta1763791744| |Alta Dena|17637 E Valley Blvd| |City Of Industry|CA|91744| | |A
Altosy1387491710| |Altosystems               X211|13874 Norton Ave|Vmartinez@Altosystems Com|Chino|CA|91710| | |A
Amc113175050| |Amc Warehouse|1131 Avenue T| |Grand Prairie|TX|75050| | |A
AmericPo66282| |American Beverage Marketers|Po Box 12647| |Overland|KS|66282| | |A
Americ108810| |American Roland Food Corp|1 Industrial Rd|Hrs 7 00-4 00 Lunch 12-12 45|Dayton|NJ|08810| | |A
Americ141592801| |Americold Logistics|1415 N Raymond Ave|Vanessa Rodriguez@Americold Co|Anaheim|CA|92801| | |A
Americ161929673| |Americold Piedmont|1619 Antioch Church Rd|Piedmontcsr@Americold Com|Piedmont|SC|29673| | |A
Americ20076106| |Americold Logistics|200 Railhead Rd|Laurie Clifton|Fort Worth|TX|76106| | |A
Americ342090058| |Americold Ext 55131|3420 E Vernon Ave|Ext 55131|Vernon|CA|90058| | |A
Americ457330067| |American Beverage Marketr|4573 Fountain Dr Ne| |Marietta|GA|30067| | |A
Americ70091761| |Americold Ontario|700 Malaga St|Apptsontca@Americold Com|Ontario|CA|91761| | |A
Americ81047150| |American Beverage Marketers|810 Progress Blvd| |New Albany|IN|47150| | |A
Americ82347150| |American Beverage Mktrs|823 Progress Blvd| |New Albany|IN|47150| | |A
Amn266133016| |Amn Distributors|2661 W 81St St|Contact Elizabeth|Hialeah|FL|33016| | |A
AmysUs393695652| |AmysUs Cold Storage|3936 Dudley Blvd     Option 3|Mpappointments@Uscold.Com|Mcclellan|CA|95652| | |A
Andys282963103| |Andys Seasonings Inc|2829 Chouteau Ave|Leighcannon@Andysseasoning Com|Saint Louis|MO|63103| | |A
Anita68692408| |Anita Mexican Foods|686 S Allen St|Chris Moreno Ext 534|San Bernardino|CA|92408| | |A
Annies50560440| |Annies HomegrownDist 2000|505 W Crossroads Pkwy| |Bolingbrook|IL|60440| | |A
AnsbPo32085| |Ansb  American Natural Snacks|Po Box 1067| |Saint Augustine|FL|32085| | |A
Ara800133166| |Ara Food Corp|8001 Nw 60Th St|Contact Nicole X210|Miami|FL|33166| | |A
Ara802933166| |Ara Food Corporation|8029 Nw 60Th St|Attn Michael Loriga|Miami|FL|33166| | |A
Arizon63885210| |Arizona Pepper Co|638 W Broadway Rd Ste 302| |Mesa|AZ|85210| | |A
Arizon828185260| |Arizona Natural Products|8281 E Evans Rd Ste 104|Ste 104|Scottsdale|AZ|85260| | |A
Aron17110962| |Aron Streit Inc|171 Route 303|845-359-7289|Orangeburg|NY|10962| | |A
Aspen1748692395| |Aspen Distribution La|17486 Nisqualli Rd| |Victorville|CA|92395| | |A
AssociPo14240| |Associated Brands|Po Box 2739| |Buffalo|NY|14240| | |A
Atkins200211779| |Atkins Nutritionals Inc|2002 Orville Dr N Ste A| |Ronkonkoma|NY|11779| | |A
Aurome2595240| |Auromere|25 S Stockton St| |Lodi|CA|95240| | |A
Azteca1570047725| |Azteca Milling|15700 Highway 41 N| |Evansville|IN|47725| | |A
Azteca2386593638| |Azteca Milling Lp|23865 Avenue 18|Ext 428|Madera|CA|93638| | |A
Azteca470079072| |Azteca Milling Co|4700 S Jefferson St|Attn Caroline|Plainview|TX|79072| | |A
Azteca500560638| |Azteca Foods|5005 S Nagle Ave| |Chicago|IL|60638| | |A
Azteca502190040| |Azteca Milling LP|5021 Zambrano St| |Commerce|CA|90040| | |A
AARON739092841| |AARON THOMAS CO|7390 HUNT AVENUE|ATTN: JOE BEDNARSKI|GARDEN GROVE|CA|92841| | |A
AA908817| |AA WHOLESALE|9 TAYLOR ROAD|BITTU081967@GMAIL.COM|EDISON|NJ|08817| | |A
ABBA192833004| |ABBA EQUIPMENT INC|1928 TIGERTAIL BLVD|0|DANIA|FL|33004| | |A
ABBYS24328117| |ABBYS BETTER NUT BUTTER LLC|243 EAST OVERHILL DRIVE|STE 3|MOORESVILLE|NC|28117| | |A
ABBY24328117| |ABBY BETTER NUT BUTTER LLC|243 EAST OVERHILL DRIVE|STE 3|MOORESVILLE|NC|28117| | |A
ABCO244594533| |ABCO LABORATORIES INC|2445 SOUTH WATNEY WAY|EDAVID@ABCOLABS.COM|FAIRFIELD|CA|94533| | |A
ABCO245094533| |ABCO LABORATORIES INC|2450 S WATNEY WAY|HRS 8-3:00 P.M.|FAIRFIELD|CA|94533| | |A
ABENA134523453| |ABENA NORTH AMERICA|1345 TAYLOR FARM ROAD|STSO@ABENA.COM|VIRGINIA BEACH|VA|23453| | |A
ABKIT330175041| |ABKIT|3301 WOOD DRIVE|SUITE 200|GARLAND|TX|75041| | |A
ABRACAABRAC95436| |ABRACADABRA INC|ABRACADABRA NK4|10365 HIGHWAY 116|FORESTVILLE|CA|95436| | |A
ABRACO235133182| |ABRACO GROUP|2351 NW 121ST COURT SUITE 108|LOGISTICS@ABRACOGROUP.COM|MIAMI|FL|33182| | |A
ABRACO340033178| |ABRACO GROUP LLC|3400 NW 114 AVENUE|LOGISTICS@ABRACOGROUP.COM|MEDLEY|FL|33178| | |A
ABRA1036595436| |ABRA THERAPEUTICS INC|10365 HIGHWAY 116| |FORESTVILLE|CA|95436| | |A
ABSOLU135006002| |ABSOLUTE NUTRITION|1350 BLUE HILLS AVENUE| |BLOOMFIELD|CT|06002| | |A
ABSOLU24279061| |ABSOLUTELY WORLD CLASS|242 COTTONWOOD ST| |MOBEETIE|TX|79061| | |A
ABSOLU24279601| |ABSOLUTELY WORLD CLASS|242 COTTONWOOD|CONTACT: MASON/ SHAWN|ABILENE|TX|79601| | |A
ACADEM154977449| |ACADEMY SPORTS  OUTDOORS BTST|1549 PRIMEWEST PARKWAY| |KATY|TX|77449| | |A
ACAI838592121| |ACAI ROOTS|8385 MIRAMAR MALL|SUITE 201|SAN DIEGO|CA|92121| | |A
ACAPUL92990022| |ACAPULCO MEXICATESSEN|929 S KERN AVE|CONTACT DAHLIA MARIANA|LOS ANGELES|CA|90022| | |A
ACA32410474| |ACA FREIGHT FORWARDING|324 BRYANT AVENUE|ATTN: SEAN CRUZ|BRONX|NY|10474| | |A
ACCEM15007002| |ACCEM WAREHOUSE|150 PULASKI ST| |BAYONNE|NJ|07002| | |A
ACCEM20007002| |ACCEM WAREHOUSE|200 LIBERTY WAY| |CRANBURY|NJ|07002| | |A
ACCEM6307002| |ACCEM WAREHOUSE|63 HOOK STREET|LENNY MECCA|BAYONNE|NJ|07002| | |A
ACCEM636907002| |ACCEM WAREHOUSE|6369 HOOD ROAD|ATTN: DONNA|BAYONNE|NJ|07002| | |A
ACCEM636908003| |ACCEM WAREHOUSE|6369 HOOK ROAD| |BAYONNE|NJ|08003| | |A
ACCESS142090746| |ACCESS PLUS|1420 EAST VICTORIA ST|APWLTEAM@APWL.NET|CARSON|CA|90746| | |A
ACCESS60190220| |ACCESS PLUS WRHSE  LOGISTICS|601 WEST WALNUT ST| |COMPTON|CA|90220| | |A
ACCURA2911591355| |ACCURATE FREIGHT|29115 AVENUE VALLEY VIEW STE A| |VALENCIA|CA|91355| | |A
ACDRAWE35283| |AC LEGG INCORPORATED|DRAWER AL 00227| |BIRMINGHAM|AL|35283| | |A
ACEACE72113| |ACE MANAGEMENT LLC    BTST|ACE MANAGEMENT LLC|7341 RIVER POINTE DR. APT#3|NORTH LITTLE ROCK|AR|72113| | |A
ACELER11430102| |ACELERADA LLC|114 NORTHPOINT PKWY|BIMBO@ATLANTABONDED.COM|ACWORTH|GA|30102| | |A
ACE82990744| |ACE DISTRIBUTION  LOGISTICS|829 PIONEER AVE|VPOY@ACEFREIGHTSERVICE.COM|WILMINGTON|CA|90744| | |A
ACH1032060517| |ACH FOOD|10320 WELCH DR|VMICHEL@ACHFOOD.US|WOODRIDGE|IL|60517| | |A
ACH47017011| |ACH FOOD CO JACOBSON COMPANY|470 ST JOHNS CHURCH RD| |CAMP HILL|PA|17011| | |A
ACLAREW299453049| |ACLARE FARMS SPECIALTIES LLC|W2994 COUNTY ROAD HH| |MALONE|WI|53049| | |A
